Url,Identifier,PrefLabel,Definition,Version,Deprecated,Date
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0961/,SDN:L22::TOOL0961,Mini-Hamon grab,"The Mini-Hamon Grab was introduced by CEFAS and is used for obtaining samples in coarse sediment, as well as for sampling benthic infauna. The standard Hamon Grab comprises of a stainless steel box shaped sampling scoop mounted in a rectangular (but sometimes triangular) frame. It is a mini version of the standard Hamon Grab, with a typical sampling area of 0.1 m2 and a penetration depth up to 20 cm. It often has a longer than standard tooth bar fitted compared with the standard Hamon Grab.",1,false,2015-12-16 16:57:05.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0987/,SDN:L22::TOOL0987,OCEAN sampler pup net,Plankton net described as one of typically two simple conical ring nets attached by bungee to either side of the OCEAN sampler frame to collect integrated samples; designed with single circular mouth piece with measurements: diameter (metre)=0.14; with opening area (square metre)=0.015; with total filtering net length (metre)=1.47; with filtering net shape conical; with mesh size (millimetre)=not specified; and equipped with NO closing mechanism.,1,false,2016-04-04 14:47:13.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1156/,SDN:L22::TOOL1156,Vemco V8 Coded Transmitter Tag,"A small (8 mm diamter) acoustic transmitter used to track and determine the behavioural patterns of small and juvenile fish. The V8 tag is particularly suited for monitoring of salmon smolt migrations, and can be used to track large numbers of fish over large areas. The V8 offers an alternative between the V7 and V9 tags due to its higher output power and greater detection range. V8 coded transmitters send acoustic pings at 69 kHz that are infrequent and random about an average delay. This ping train includes an ID number which permits identification of the specific tag. The V8 can be detected by all VEMCO 69 kHz receivers. There are two battery options, the 4L or 4H. To control the characteristics of the tags, users can choose from one to four programming steps: Status (ON/OFF), time interval, acoustic power level (L/H) and nominal delay.",1,false,2017-10-16 12:08:03.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1157/,SDN:L22::TOOL1157,Vemco V9 Coded Transmitter Tag,"A small (9 mm diamter) acoustic transmitter used to track and determine the behavioural patterns of small and juvenile fish. The V9 tag is particularly suited for monitoring of salmon smolt migrations, and can be used to track large numbers of fish over large areas. V9 coded transmitters send acoustic pings at 69 kHz that are infrequent and random about an average delay. This ping train includes an ID number which permits identification of the specific tag. The V9 tag can function as a simple pinger giving location only, or it can be equipped with depth (V9P) and temperature (V9T) sensors, or both (V9TP). The V9 can be used with the VR2W monitoring receiver, and can also be actively tracked using the VR100 acoustic tracking receiver.",2,false,2017-11-01 12:35:03.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1154/,SDN:L22::TOOL1154,Vemco V16 Coded Transmitter Tag,"A 16 mm diamter acoustic transmitter used to track and determine the behavioural patterns of medium to large marine species. Coded transmitters send acoustic pings at 69 kHz that are infrequent and random about an average delay. This ping train includes an ID number which permits identification of the specific tag along with the sensor telemetry data. The V16 can function as a simple pinger for location only, or it can be equipped with additional sensors to include depth (V16P) and temperature (V16T) data, or both (V16TP). When used with the VR2W or VR4-UWM receiver, they can be used to track large numbers of fish over large areas. The V16 can also be manually tracked using the VR100 acoustic tracking receiver. The V16 tag will last anywhere between one month and several years depending on the chosen battery size, and will give a transmission range in excess of several hundered metres.",2,false,2017-11-01 12:30:29.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1263/,SDN:L22::TOOL1263,Unspecified time depth recorder,"A detachable device providing detailed depth information relative to time. Often tagged to marine species to monitor their diving behaviour. The data collected by the instrument is stored in an internal memory, and can be downloaded on recovery.",1,false,2018-08-02 15:26:57.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1152/,SDN:L22::TOOL1152,Vemco V13 Coded Transmitter Tag,"A small (13 mm diamter) acoustic transmitter used to track and determine the behavioural patterns of small and juvenile fish, for applications such as site residency studies and automated monitoring of migrations. Coded transmitters send acoustic pings at 69 kHz that are infrequent and random about an average delay. This ping train includes an ID number which permits identification of the specific tag along with the sensor telemetry data. The V13 can function as a simple pinger for location only, or it can be equipped with additional sensors to include depth (V13P) and temperature (V13T) data. When used with the VR2 and or VR3 receiver, they can be used to track large numbers of fish over large areas. The V13 can also be tracked using the VR28, the VR100, or VR60 (with Option 07 version 2.01) receivers, or the VRAP system.",1,false,2017-10-16 12:08:03.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1158/,SDN:L22::TOOL1158,Vemco V9AP Coded Transmitter Tag,"A coded acoustic transmitter used to measure the activity of free-ranging fauna in nature, most commonly fish. The transmitter measures the 3D acceleration with depth of fauna moving within a reciever array as a vector quantity, i.e. it measures acceleration on 3 axes X, Y and Z, in metres per second squared. Other applications may include determination of swimming speed via tail beat acceleration, activity responses to changing oxygen, temperature and salinity, and detecting mortality through predation, seismic blasting, toxic spills, feeding events, spawning activity, nocturnal/diurnal activity or wave action. One of two modes of operation can be specified; an activity alogorithm or tailbeat algorithm. Coded transmitters send acoustic pings at 69 kHz that are infrequent and random about an average delay. This ping train includes an ID number which permits identification of the specific tag and sensor data. For dual sensor tags, there are two tag IDs. The V9 is also available as an accelerometer option only (V9A).",1,false,2017-10-16 12:08:03.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0929/,SDN:L22::TOOL0929,Biotrack MK3 geolocator tags,A family of tags designed for tracking animal movements over long periods based on measurement of light levels at dawn and dusk.  The tags also measure temperature and whether they are wet or dry. Geolocator accuracy is of the order of 150km. Tags must be recovered for data download. The MK3 family weigh 2.5 grams and are designed to be attached to deep-diving and larger water birds. Tags in this family were developed by British Antarctic Survey and are produced under licence by Biotrack: the BAS MK19 as the Biotrack MK3005 and the BAS MK16 as the Biotrack MK3006.,1,false,2015-08-04 12:04:14.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1155/,SDN:L22::TOOL1155,Vemco V7 Coded Transmitter Tag,"A small (7 mm diamter) acoustic transmitter used to track and determine the behavioural patterns of small and juvenile fish. The V7 tag is particularly suited for monitoring of salmon smolt migrations, and can be used to track large numbers of fish over large areas. V7 coded transmitters send acoustic pings at 69 kHz that are infrequent and random about an average delay. This ping train includes an ID number which permits identification of the specific tag. The V7 can be detected by all VEMCO 69 kHz receivers. There are two battery options, the 2L or 4L. To control the characteristics of the tags, users can choose from one to four programming steps: Status (ON/OFF), time interval, acoustic power level (L/H) and nominal delay.",1,false,2017-10-16 12:08:03.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1153/,SDN:L22::TOOL1153,Vemco V13AP Coded Accelerometer Pressure Transmitter Tag,"A coded acoustic transmitter used to measure the activity of free-ranging marine fauna, most commonly fish. The transmitter measures the 3D acceleration with depth of fauna moving within a reciever array as a vector quantity, i.e. it measures acceleration on 3 axes X, Y and Z, in metres per second squared. Other applications may include determination of swimming speed via tail beat acceleration, activity responses to changing oxygen, temperature and salinity, and detecting mortality through predation, seismic blasting, toxic spills, feeding events, spawning activity, nocturnal/diurnal activity or wave action. One of two modes of operation can be specified; an activity alogorithm or tailbeat algorithm. Coded transmitters send acoustic pings at 69 kHz that are infrequent and random about an average delay. This ping train includes an ID number which permits identification of the specific tag and sensor data. For dual sensor tags, there are two tag IDs.",1,false,2017-10-16 12:08:03.0
http://vocab.nerc.ac.uk/collection/L22/current/NETT0125/,SDN:L22::NETT0125,Octagon net - Sameoto and Jaroszynski (1976),Has a 75 cm diameter iron channel octagon mouth opening which was attached to the towing wire with stainless steel snap swivels and held from sliding down by a stop on the wire. Used with a net made of 1 mm nylon mesh and towed at speeds up to 7 knots [Wiebe and Benfield 2003 Plate 3 C].,1,false,2011-10-21 14:18:49.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1034/,SDN:L22::TOOL1034,Inverted Microscope (generic),A generic term for an inverted (the light source illuminates the specimen from above) optical microscope.,1,false,2016-11-10 12:55:24.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1334/,SDN:L22::TOOL1334,Satlantic Hyperspectral Surface Acquisition System (HyperSAS) radiometer,"An above-water optical sensing system designed to provide continuous ocean colour measurements over the spectral range 350-800 nm. The HyperSAS can be mounted on ships and fixed platforms, or on aircrafts for remote sensing surveys. The standard configuration of the system includes one irradiance sensor to measure downwelling irradiance, and two hyperspectral radiance sensors to capture the sea surface signal. The irradiance sensor response is proportional to the cosine of the angle of incidence of the incoming radiation, while each radiance sensor has a 3 deg field of view (FOV). The orientation precision, geo-referencing and time-stamp accuracy may be improved by mounting an optional GPS unit with Satlantic tilt and heading sensor. Moreover, a radiation pyrometer may also be added to measure land or sea surface temperature.",1,false,2019-06-13 09:51:58.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0212/,SDN:L22::TOOL0212,Aanderaa RCM 4/5 temperature and salinity recorders,Withdrawn RCM4 or RCM5 current meters fitted with conductivity and temperature sensors given a new lease of life as temperature and salinity recorders.,1,false,2010-05-18 16:10:58.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0238/,SDN:L22::TOOL0238,Mercury reversing thermometer,A generic term for a mercury-in-glass thermometer that freezes the temperature reading when turned upside-down.,1,false,2010-05-18 16:10:58.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0512/,SDN:L22::TOOL0512,WestCo Scientific Instruments SmartChem 200 Discrete Analyzer,A laboratory instrument designed for discrete sample analysis. A manual arm collects sample and reagents and dispenses them in a cuvette. The cuvette resides in a heated carousel wheel where the chemical reaction is allowed to proceed to the development of a colored product. The optical density of the reaction product is then measured. It may be used to measure nutrient concentrations in seawater. WestCo Scientific Instruments is a subsidiary of Unity Scientific.,1,false,2012-07-04 10:02:10.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0538/,SDN:L22::TOOL0538,Technicap NOEX bottle,"Water bottle designed for oceanographic sampling. The bottle comprises a plastic tube with caps at each end and is deployed with the caps held open, then closed at the target depth. Multiple bottles can be deployed on a CTD frame rosette. Bottle capacity is variable, but normally several litres. The bottle was developed by Technicap in the 1990s but has been superseded by more recent models. There is no known source of support available for this sampler.",1,false,2012-09-25 16:03:31.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0812/,SDN:L22::TOOL0812,Eppley Total Ultraviolet Radiometer,The Eppley Total Ultraviolet Radiometer (TUVR) measures total short-wave solar radiation (295 to 385 nm) with sensitivity of approx. 150 microV/Wm-2. The unit is of brass construction and includes adjustable leveling screws and a circular spirit level. The instrument utilizes a hermetically sealed selenium barrier-layer cell which is protected by a quartz window. An encapsulated narrow bandpass (interference) filter limits the spectral response of the photocell.,1,false,2014-12-09 14:23:19.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0838/,SDN:L22::TOOL0838,Paine 3000 PSIA pressure sensor,A strain gauge pressure sensor rated to a maximum pressure of 3000 pounds per square inch absolute (2000m depth).,1,false,2015-03-26 12:14:52.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1151/,SDN:L22::TOOL1151,ASL AZFP Acoustic Zooplankton Fish Profiler,"An autonomous scientific echosounder for the measurement and monitoring of environmental conditions in oceans, lakes and rivers. Abundance of zooplankton, fish, bubbles and suspended sediments in the water column are common targets, via the measurement of acoustic backscatter returns at multiple ultrasonic frequencies. Using onboard data storage, the AZFP can collect data continuously for periods of up to one year at high temporal and spatial resolution. The AZFP is available with up to four frequencies in a single transducer housing. It can be operated in bottom-mounted, upward looking mode or in downward looking mode from a buoy, and is ideally suited for taut-line mooring operation. It has a configurable ping rate up to 1 Hz, 16 Gb Compact Flash storage with up to 32 Gb available, and weighs 50 kg in its ruggedised shipping case.",1,false,2017-10-16 12:08:03.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1177/,SDN:L22::TOOL1177,Unspecified box corer,"A marine geological tool that recovers undisturbed soft surface sediments. It is designed for minimum disturbance of the sediment surface by bow wave effects. Traditionally, it consists of a weighted stem fitted to a square sampling box. The corer is lowered vertically until it impacts with the seabed. At this point the instrument is triggered by a trip as the main coring stem passes through its frame. While pulling the corer out of the sediment a spade swings underneath the sample to prevent loss. When hauled back on board, the spade is under the box.",1,false,2017-11-23 13:03:21.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0055/,SDN:L22::TOOL0055,RBR TR-1050 underwater temperature logger,"The TR-1050 is a small (230mm x 38mm OD), self-contained, submersible temperature recorder with a calibration to ±0.002°C.  Typical calibration drift of 0.002°C per year has been measured. It can be deployed for a period of up to three years and can collect more than 2,400,000 samples. Data are retained in memory for 20 years (even without batteries). It has a measurement range of -5°C to +35°C in its standard calibration but can be configured to measure wider ranges. The logger can be fitted with different thermistors to operate to as low as -40°C or up to +50°C.",2,false,2017-08-10 12:39:12.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0355/,SDN:L22::TOOL0355,Bolt Technology Corporation 2800-LLX air gun,A towed chamber that rapidly releases a single bubble of highly compressed air on command to generate an acoustic shock wave plus sonic oscillations as the bubble collapses. It is used a an energy source for seafloor seismic surveys and is suited to shallow water work. The L2800-LLX is designed for chamber volumes ranging from 5 to 120 cubic inches and has a maximum operating pressure of 2000 psi. It can be configured in 2-3 gun clusters to increase energy output.,1,false,2010-11-18 12:37:16.0
http://vocab.nerc.ac.uk/collection/L22/current/NETT0085/,SDN:L22::NETT0085,Lowestoft frame trawl - Walker and Davies (1986),A 142 cm x 142 cm rectangular mouth opening trawl with a rigid mouth frame and  nets 747.5 cm long of 5.0 cm mesh. Uses a TSK flowmeter converted to a digital counter unit and conducting cable to power  depth and temperature sensors.  Data recorded on a surface chart recorder.  Normally towed at 3 knots.  A 100 cm x 100 cm mouth opening trawl with a net length of 475 cm also described.  Mainly for small pelagic fish capture.  Not opening/closing [Wiebe and Benfield 2003 Plate 4 F].,1,false,2011-10-21 14:18:49.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0655/,SDN:L22::TOOL0655,GEOTEK Geoscan IV line scan camera,"A 3 x 2048 pixel CCD, digital line-scan camera fitted with a standard Nikon lens mount which is used for imaging cores. Images can be collected at up to 400 lines per centimetre, resulting in a down-core resolution of 25 micron pixel.",1,false,2013-12-02 12:24:49.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0955/,SDN:L22::TOOL0955,University of Texas Institute of Geophysics Heat Flow Probe,"University of Texas Institute of Geophysics (UTIG) heat flow probe measures temperature at 12 thermistors evenly distributed through 4m vertical length, in 3 outrigger bows thermally isolated from a rigid strength member which is let fall into the sediment. The bows are offset 120 degrees around the strength member circumference, to limit the extent of sediment disturbance. An extra thermistor within the weightstand above measures sea water temperature.",1,false,2015-12-01 14:39:08.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1294/,SDN:L22::TOOL1294,JFE Advantech Rinko III {ARO-CAV} oxygen sensor,"A fast-response optical dissolved oxygen and temperature sensor. The DO sensor is coated with photostimulable phosphor (PSP) on the outside of the pressure-resistant acrylic optical window, measuring phosphorescence quenching phase shift. The excitation blue LED pulse generates a red phosphorescence pulse, which in turn has an inverse correlation with the oxygen partial pressure in the water. It is an analogue output version. It has a response time of less than 1 second in air, enabling dissolved oxygen measurements with continuous profiling at high speeds. The dissolved oxygen sensor has a non-linear accuracy of +/-2% of full scale (at 1atm, 25 deg C) and the temperature sensor +/-0.02 deg C. It has a pressure rating of 7000 m.",2,false,2018-11-19 15:13:55.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0172/,SDN:L22::TOOL0172,WETLabs ECO FL fluorometer,"An open flat-face fluorometer that can be used to measure relative chlorophyll, CDOM, uranine, phycocyanin, or phycoerythrin concentrations by directly measuring the amount of fluorescence emission in a sample volume of water.",1,false,2010-05-18 16:10:58.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0198/,SDN:L22::TOOL0198,Simrad EK-60 echosounder,A split-beam scientific echosounder primarily designed for fisheries research. It can operate seven frequencies simultaneously ranging from 18 to 710 kHz. Real time echo integration and target strength analysis in an unlimited number of layers is provided as well as storage of raw data for replay or analysis in one of several post-processing software packages such as Simrad's BI60.,1,false,2010-05-18 16:10:58.0
http://vocab.nerc.ac.uk/collection/L22/current/NETT0119/,SDN:L22::NETT0119,Neuston sampler - Schram et al. (1981),A framework supports five 50 cm x 20 cm mouth opening rectangular nets each 125 cm long with mesh sizes ranging from 0.150 to 0.500 mm. Frame equipped with a flowmeter is used [Wiebe and Benfield 2003 Plate 21 D].,1,false,2011-10-21 14:18:49.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0472/,SDN:L22::TOOL0472,Bowers and Connelly Mega Corer,"A sediment corer which collects relatively undisturbed sea-floor sediment samples including an intact sediment-water interface and overlying supernatant water. The Mega Corer holds 12 tubes, each 600 mm in length, allowing collection of sediment cores up to 400 mm long. It has a hydrostatic damping system which is used to slow down the penetration rate and to remove the typical bow wave. Corer deployment rates are in the region of 1 metre per second on the descent, and at any speed on retrieval as the samples are sealed top and bottom. The core tubing can be manufactured from acrylic, poly carbonate or stainless steel. The instrument was designed by Bowers and Connelly and is now manufactured by OSIL.",1,false,2012-02-21 16:06:42.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0498/,SDN:L22::TOOL0498,Aanderaa conductivity sensor 3919A,"An inductive conductivity sensor designed to operate over a range of 0-7.5 S/m with a resolution of 0.0002 S/m and an accuracy of +/- 0.005 S/m. The instrument includes a temperature sensor with a range of -5 to 40 degC, a resolution of 0.01 degC and an accuracy of +/-0.1 degC. The shallow water (SW) version of the instrument is rated to 300 m, the intermediate water (IW) version to 2000 m and the deep water (DW) version to 6000 m. The instrument has a titanium casing and can be interfaced with the Aanderaa RCM9/11 or RDCP, or used for standalone operations.",1,false,2012-06-13 14:30:27.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1002/,SDN:L22::TOOL1002,Thermo Scientifc XSeries 2 quadrupole inductively coupled plasma mass spectrometer,"The ThermoScientific XSeries 2 is a benchtop inductively coupled plasma mass spectrometer (ICP-MS) which is designed for the concentration determination of a wide variety of different metals with sub ppb detection limits. The quadrupole analyser is pumped by a split flow turbo pump backed by a single rotary. The high capacity pumping system enables the use of diluted reactive gases such as 7% H2 in He or 1% NH3 in He to be used in CCT mode rather than undiluted H2 or NH3 thereby eliminating potential corrosion problems and enhancing instrument reliability and operator safety. The instrument can be coupled with additional systems to increase the measuring capability (such as laser ablation, liquid chromatography and gas chromatography. The XSeries 2 is an update to the X Series ICP-MS.",1,false,2016-06-06 09:29:07.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL1028/,SDN:L22::TOOL1028,Airmar Ultrasonic WeatherStation WX series,"Airmar Ultrasonic WeatherStation WX series instruments (100WX, 110WX, 150WX and 200WX) are compact meteorological stations designed to provide real-time, site-specific weather information. The instruments combine up to seven sensors to measure apparent wind speed and direction, barometric pressure, air temperature, relative humidity, dew point and wind chill temperature. Ultrasonic wind readings are taken for wind speeds up to 40 m/s. Apparent wind models (100WX and 110WX) are designed for fixed platforms; apparent and true wind models (150WX and 200WX) are designed for moving platforms.",1,false,2016-10-24 14:25:31.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0772/,SDN:L22::TOOL0772,Teledyne Reson SeaBat 7125,The Teledyne Reson SeaBat 7125 is a 200-400kHz multibeam echosounder designed for use in water depths between 25m and 6000m. The transducer array includes 512 beams (at 400 kHz) and 256 (at 200 kHz). The instrument has pulse lengths 33 usec to 300 usec and a depth resolution of 6mm. Max swath angle ranges from 140 to 165 degrees,2,false,2017-02-07 12:04:28.0
http://vocab.nerc.ac.uk/collection/L22/current/TOOL0798/,SDN:L22::TOOL0798,Furuno Navigator GP36 Global Positioning System receivers,"The Furuno GP-36 is a 12 parallel channel, all-in-view GPS system with a built in differential GPS (DGPS) receiver. It is has a 4.5 inch monochrome LCD video display. Accuracy is approx. 50 m (GPS), or approx. 5 m (DGPS), 95% of the time. This model superseded the Furuno GP-35.",1,false,2014-09-18 15:18:31.0
